respiratory_season,tester,site_type,name_of_sampling_location,7_day_average_of_sars-cov-2_concentration,number_of_samples_in_the_last_7_days,sars-cov-2_detected,sample_collection_date,units_(measuring_concentration),city_of_sampling_location,state_of_sampling_location,county_of_sampling_location,date_data_last_updated,date,source
2024-2025,BioBot,Municipal,Wareham WPCF,254600.6263354438,4,Detected,2024-09-26T00:00:00Z,copies/L,Wareham,MA,Plymouth,2025-02-20T00:00:00Z,2024-09-26,current
2024-2025,BioBot,Municipal,Greenfield WPCF,2011823.0121517936,2,Detected,2025-01-30T00:00:00Z,copies/L,Greenfield,MA,Franklin,2025-02-20T00:00:00Z,2025-01-30,current
2024-2025,BioBot,Municipal,Pittsfield WWTP,242053.15721621356,4,Detected,2024-11-22T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2025-02-20T00:00:00Z,2024-11-22,current
2024-2025,BioBot,Municipal,MWRA Southern,736807.7673746095,7,Detected,2024-07-31T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-07-31,current
2024-2025,BioBot,Municipal,MWRA Northern,805168.2643567665,7,Detected,2024-07-19T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-07-19,current
2024-2025,BioBot,Municipal,Brockton/ Abington,1226846.8408063266,4,Detected,2024-07-22T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-02-20T00:00:00Z,2024-07-22,current
2024-2025,BioBot,Municipal,MWRA Southern,1455887.9502000723,7,Detected,2024-12-20T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-12-20,current
2024-2025,BioBot,Municipal,Whitman,2837652.737738167,4,Detected,2025-01-16T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-02-20T00:00:00Z,2025-01-16,current
2024-2025,BioBot,Municipal,MWRA Northern,273424.99388019036,6,Detected,2024-09-26T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-09-26,current
2024-2025,BioBot,Municipal,MWRA Northern,291153.33348479023,6,Detected,2024-09-26T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-09-26,current
2024-2025,BioBot,Municipal,Montague Clean Water Facility,1671351.179037784,2,Detected,2025-02-05T00:00:00Z,copies/L,Montague,MA,Franklin,2025-02-20T00:00:00Z,2025-02-05,current
2024-2025,BioBot,Municipal,MWRA Northern,235697.52186045935,7,Detected,2024-10-12T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-10-12,current
2024-2025,BioBot,Municipal,Pittsfield WWTP,447668.37547322444,4,Detected,2024-11-14T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2025-02-20T00:00:00Z,2024-11-14,current
