respiratory_season,tester,site_type,name_of_sampling_location,7_day_average_of_sars-cov-2_concentration,number_of_samples_in_the_last_7_days,sars-cov-2_detected,sample_collection_date,units_(measuring_concentration),city_of_sampling_location,state_of_sampling_location,county_of_sampling_location,date_data_last_updated,date,source
2024-2025,BioBot,Municipal,Brockton/ Abington,582482.46,4,Detected,2025-02-24T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-06-12T00:00:00Z,2025-02-24,current
2024-2025,BioBot,Municipal,Plymouth Headworks Influent,706883.5299999999,3,Detected,2024-08-21T00:00:00Z,copies/L,Plymouth,MA,Plymouth,2025-06-12T00:00:00Z,2024-08-21,current
2024-2025,BioBot,Municipal,Hull WWTF,308573.59,3,Detected,2024-11-07T00:00:00Z,copies/L,Hull,MA,Plymouth,2025-06-12T00:00:00Z,2024-11-07,current
2024-2025,BioBot,Municipal,MWRA Southern,680108.0057142858,7,Detected,2025-01-27T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-01-27,current
2024-2025,BioBot,Municipal,Uxbridge WWTF,938134.19,3,Detected,2025-01-23T00:00:00Z,copies/L,Uxbridge,MA,Worcester,2025-06-12T00:00:00Z,2025-01-23,current
2024-2025,BioBot,Municipal,MWRA Southern,666312.6900000001,7,Detected,2025-01-18T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-01-18,current
2024-2025,BioBot,Municipal,MWRA Southern,687899.8714285714,7,Detected,2025-02-23T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-02-23,current
2024-2025,BioBot,Municipal,Whitman,3354590.9166666665,3,Detected,2025-01-22T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-06-12T00:00:00Z,2025-01-22,current
2024-2025,BioBot,Municipal,S.Deerfield WWTP,156510.83333333334,3,Detected,2025-04-10T00:00:00Z,copies/L,Deerfield,MA,Franklin,2025-06-12T00:00:00Z,2025-04-10,current
2024-2025,BioBot,Municipal,MWRA Northern,265443.1257142857,7,Detected,2025-03-26T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-03-26,current
2024-2025,BioBot,Municipal,MWRA Northern,257911.73285714284,7,Detected,2024-10-01T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2024-10-01,current
2024-2025,BioBot,Municipal,MWRA Southern,1221794.0414285713,7,Detected,2025-01-07T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-01-07,current
2024-2025,BioBot,Municipal,Whitman,905928.2199999999,3,Detected,2025-02-20T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-06-12T00:00:00Z,2025-02-20,current
2024-2025,BioBot,Municipal,MWRA Northern,601167.3557142857,7,Detected,2025-01-25T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-01-25,current
2024-2025,BioBot,Municipal,Uxbridge WWTF,133159.78666666665,3,Detected,2025-05-22T00:00:00Z,copies/L,Uxbridge,MA,Worcester,2025-06-12T00:00:00Z,2025-05-22,current
2024-2025,BioBot,Municipal,S.Deerfield WWTP,61964.083333333336,3,Not Detected,2025-05-14T00:00:00Z,copies/L,Deerfield,MA,Franklin,2025-06-12T00:00:00Z,2025-05-14,current
2024-2025,BioBot,Municipal,MWRA Northern,784367.2214285714,7,Detected,2024-07-05T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2024-07-05,current
2024-2025,BioBot,Municipal,Fall River WWTP,221902.43399999998,5,Detected,2024-07-04T00:00:00Z,copies/L,Fall River,MA,Bristol,2025-06-12T00:00:00Z,2024-07-04,current
2024-2025,BioBot,Municipal,MWRA Northern,466266.3914285715,7,Detected,2025-02-06T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-02-06,current
2024-2025,BioBot,Municipal,Greater Lawrence Sanitary District,325667.0175,4,Detected,2025-04-07T00:00:00Z,copies/L,North Andover,MA,Essex,2025-06-12T00:00:00Z,2025-04-07,current
2024-2025,BioBot,Municipal,MWRA Southern,682514.1785714285,7,Detected,2025-02-24T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-02-24,current
2024-2025,BioBot,Municipal,MWRA Northern,738796.6457142857,7,Detected,2024-07-21T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2024-07-21,current
2024-2025,BioBot,Municipal,Uxbridge WWTF,558838.8633333334,3,Detected,2025-04-03T00:00:00Z,copies/L,Uxbridge,MA,Worcester,2025-06-12T00:00:00Z,2025-04-03,current
2024-2025,BioBot,Municipal,MWRA Southern,305113.53571428574,7,Detected,2024-12-03T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2024-12-03,current
2024-2025,BioBot,Municipal,Wareham WPCF,307935.07499999995,4,Detected,2025-03-26T00:00:00Z,copies/L,Wareham,MA,Plymouth,2025-06-12T00:00:00Z,2025-03-26,current
2024-2025,BioBot,Municipal,Fall River WWTP,26404.943333333333,6,Detected,2025-05-04T00:00:00Z,copies/L,Fall River,MA,Bristol,2025-06-12T00:00:00Z,2025-05-04,current
2024-2025,BioBot,Municipal,Greater Lawrence Sanitary District,665660.7925,4,Detected,2024-09-24T00:00:00Z,copies/L,North Andover,MA,Essex,2025-06-12T00:00:00Z,2024-09-24,current
2024-2025,BioBot,Municipal,Fitchburg Public Works,1397646.2966666666,3,Detected,2024-12-31T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2025-06-12T00:00:00Z,2024-12-31,current
2024-2025,BioBot,Municipal,SESD-Peabody/Salem Pump,567587.52,4,Detected,2025-03-29T00:00:00Z,copies/L,Salem,MA,Essex,2025-06-12T00:00:00Z,2025-03-29,current
2024-2025,BioBot,Municipal,Northbridge Sewer Department,413645.46,3,Detected,2024-07-02T00:00:00Z,copies/L,Northbridge,MA,Worcester,2025-06-12T00:00:00Z,2024-07-02,current
2024-2025,BioBot,Municipal,Greenfield WPCF,1296303.98,2,Detected,2024-12-05T00:00:00Z,copies/L,Greenfield,MA,Franklin,2025-06-12T00:00:00Z,2024-12-05,current
2024-2025,BioBot,Municipal,S.Deerfield WWTP,243110.15,3,Detected,2024-10-09T00:00:00Z,copies/L,Deerfield,MA,Franklin,2025-06-12T00:00:00Z,2024-10-09,current
2024-2025,BioBot,Municipal,MWRA Northern,597127.8542857143,7,Detected,2024-09-03T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2024-09-03,current
2024-2025,BioBot,Municipal,Upper Blackstone Clean Water,313359.48,4,Detected,2025-04-15T00:00:00Z,copies/L,Worcester,MA,Worcester,2025-06-12T00:00:00Z,2025-04-15,current
2024-2025,BioBot,Municipal,S.Deerfield WWTP,19187.677499999998,4,Not Detected,2025-06-03T00:00:00Z,copies/L,Deerfield,MA,Franklin,2025-06-12T00:00:00Z,2025-06-03,current
2024-2025,BioBot,Municipal,Wareham WPCF,1023303.855,4,Detected,2024-08-27T00:00:00Z,copies/L,Wareham,MA,Plymouth,2025-06-12T00:00:00Z,2024-08-27,current
2024-2025,BioBot,Municipal,South Hadley Div. of WPC,639862.058,5,Detected,2024-12-01T00:00:00Z,copies/L,Chicopee,MA,Hampden,2025-06-12T00:00:00Z,2024-12-01,current
2024-2025,BioBot,Municipal,MWRA Southern,357713.84857142856,7,Detected,2025-04-02T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-04-02,current
