respiratory_season,tester,site_type,name_of_sampling_location,7_day_average_of_sars-cov-2_concentration,number_of_samples_in_the_last_7_days,sars-cov-2_detected,sample_collection_date,units_(measuring_concentration),city_of_sampling_location,state_of_sampling_location,county_of_sampling_location,date_data_last_updated,date,source
2024-2025,BioBot,Municipal,Whitman,531186.8475,4,Detected,2025-04-01T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-06-12T00:00:00Z,2025-04-01,current
2024-2025,BioBot,Municipal,S.Deerfield WWTP,53302.31,2,Detected,2024-11-14T00:00:00Z,copies/L,Deerfield,MA,Franklin,2025-06-12T00:00:00Z,2024-11-14,current
2024-2025,BioBot,Municipal,Greater Lawrence Sanitary District,998547.59,4,Detected,2025-01-14T00:00:00Z,copies/L,North Andover,MA,Essex,2025-06-12T00:00:00Z,2025-01-14,current
2024-2025,BioBot,Municipal,MWRA Northern,448215.4499999999,7,Detected,2024-12-12T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2024-12-12,current
2024-2025,BioBot,Municipal,Uxbridge WWTF,635499.3133333334,3,Detected,2024-07-25T00:00:00Z,copies/L,Uxbridge,MA,Worcester,2025-06-12T00:00:00Z,2024-07-25,current
2024-2025,BioBot,Municipal,MWRA Southern,1784821.8885714284,7,Detected,2024-12-26T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2024-12-26,current
2024-2025,BioBot,Municipal,Pittsfield WWTP,261752.58,4,Detected,2024-12-10T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2025-06-12T00:00:00Z,2024-12-10,current
2024-2025,BioBot,Municipal,Lynn WWTF,672188.4199999999,2,Detected,2025-03-20T00:00:00Z,copies/L,Lynn,MA,Essex,2025-06-12T00:00:00Z,2025-03-20,current
2024-2025,BioBot,Municipal,Whitman,151076.5,4,Detected,2024-11-07T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-06-12T00:00:00Z,2024-11-07,current
2024-2025,BioBot,Municipal,S.Deerfield WWTP,751625.7533333333,3,Detected,2025-02-06T00:00:00Z,copies/L,Deerfield,MA,Franklin,2025-06-12T00:00:00Z,2025-02-06,current
2024-2025,BioBot,Municipal,S.Deerfield WWTP,61063.82666666667,3,Detected,2025-03-20T00:00:00Z,copies/L,Deerfield,MA,Franklin,2025-06-12T00:00:00Z,2025-03-20,current
2024-2025,BioBot,Municipal,Brockton/ Abington,1075694.5375,4,Detected,2024-07-16T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-06-12T00:00:00Z,2024-07-16,current
2024-2025,BioBot,Municipal,MWRA Southern,628553.4314285713,7,Detected,2025-02-28T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-02-28,current
2024-2025,BioBot,Municipal,Uxbridge WWTF,2190502.7433333336,3,Detected,2025-01-16T00:00:00Z,copies/L,Uxbridge,MA,Worcester,2025-06-12T00:00:00Z,2025-01-16,current
2024-2025,BioBot,Municipal,MWRA Southern,145923.12,7,Detected,2025-06-05T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-06-05,current
2024-2025,BioBot,Municipal,Plymouth Headworks Influent,168855.19,2,Detected,2025-05-22T00:00:00Z,copies/L,Plymouth,MA,Plymouth,2025-06-12T00:00:00Z,2025-05-22,current
2024-2025,BioBot,Municipal,Montague Clean Water Facility,173576.39,3,Detected,2025-05-08T00:00:00Z,copies/L,Montague,MA,Franklin,2025-06-12T00:00:00Z,2025-05-08,current
2024-2025,BioBot,Municipal,MWRA Northern,222971.59428571427,7,Detected,2025-04-16T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-04-16,current
2024-2025,BioBot,Municipal,MWRA Southern,659903.3114285714,7,Detected,2024-09-09T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2024-09-09,current
2024-2025,BioBot,Municipal,S.Deerfield WWTP,12052.12,3,Detected,2025-04-17T00:00:00Z,copies/L,Deerfield,MA,Franklin,2025-06-12T00:00:00Z,2025-04-17,current
2024-2025,BioBot,Municipal,MWRA Southern,125157.75428571427,7,Detected,2025-05-31T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-05-31,current
2024-2025,BioBot,Municipal,Fall River WWTP,10700.782857142856,7,Detected,2025-05-28T00:00:00Z,copies/L,Fall River,MA,Bristol,2025-06-12T00:00:00Z,2025-05-28,current
2024-2025,BioBot,Municipal,Wareham WPCF,235472.735,4,Detected,2024-10-09T00:00:00Z,copies/L,Wareham,MA,Plymouth,2025-06-12T00:00:00Z,2024-10-09,current
2024-2025,BioBot,Municipal,Fall River WWTP,79227.84857142858,7,Detected,2025-03-06T00:00:00Z,copies/L,Fall River,MA,Bristol,2025-06-12T00:00:00Z,2025-03-06,current
2024-2025,BioBot,Municipal,Fall River WWTP,86869.34142857142,7,Detected,2025-03-06T00:00:00Z,copies/L,Fall River,MA,Bristol,2025-06-12T00:00:00Z,2025-03-06,current
2024-2025,BioBot,Municipal,Fall River WWTP,101311.30571428571,7,Detected,2025-04-02T00:00:00Z,copies/L,Fall River,MA,Bristol,2025-06-12T00:00:00Z,2025-04-02,current
2024-2025,BioBot,Municipal,S.Deerfield WWTP,277112.02499999997,2,Detected,2024-08-28T00:00:00Z,copies/L,Deerfield,MA,Franklin,2025-06-12T00:00:00Z,2024-08-28,current
2024-2025,BioBot,Municipal,Upper Blackstone Clean Water,276533.0925,4,Detected,2025-03-17T00:00:00Z,copies/L,Worcester,MA,Worcester,2025-06-12T00:00:00Z,2025-03-17,current
2024-2025,BioBot,Municipal,MWRA Northern,114689.34142857142,7,Detected,2024-11-21T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2024-11-21,current
2024-2025,BioBot,Municipal,Upper Blackstone Clean Water,1539409.93,3,Detected,2024-08-21T00:00:00Z,copies/L,Worcester,MA,Worcester,2025-06-12T00:00:00Z,2024-08-21,current
2024-2025,BioBot,Municipal,Upper Blackstone Clean Water,1577706.03,3,Detected,2024-08-21T00:00:00Z,copies/L,Worcester,MA,Worcester,2025-06-12T00:00:00Z,2024-08-21,current
2024-2025,BioBot,Municipal,MWRA Southern,318994.2528571429,7,Detected,2025-03-29T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-03-29,current
2024-2025,BioBot,Municipal,MWRA Southern,648681.2985714285,7,Detected,2025-02-25T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-02-25,current
2024-2025,BioBot,Municipal,Lynn WWTF,195152.42666666667,3,Detected,2025-05-22T00:00:00Z,copies/L,Lynn,MA,Essex,2025-06-12T00:00:00Z,2025-05-22,current
2024-2025,BioBot,Municipal,MWRA Southern,197987.51285714284,7,Detected,2024-10-19T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2024-10-19,current
2024-2025,BioBot,Municipal,Upper Blackstone Clean Water,390537.42250000004,4,Detected,2024-10-21T00:00:00Z,copies/L,Worcester,MA,Worcester,2025-06-12T00:00:00Z,2024-10-21,current
2024-2025,BioBot,Municipal,Lynn WWTF,998724.0633333335,3,Detected,2024-07-11T00:00:00Z,copies/L,Lynn,MA,Essex,2025-06-12T00:00:00Z,2024-07-11,current
2024-2025,BioBot,Municipal,MWRA Southern,271234.0814285715,7,Detected,2024-09-22T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2024-09-22,current
2024-2025,BioBot,Municipal,Fitchburg Public Works,1085742.1324999998,4,Detected,2024-08-29T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2025-06-12T00:00:00Z,2024-08-29,current
2024-2025,BioBot,Municipal,MWRA Southern,193835.00714285715,7,Detected,2024-11-03T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2024-11-03,current
2024-2025,BioBot,Municipal,MWRA Southern,455367.86285714287,7,Detected,2025-03-03T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-03-03,current
2024-2025,BioBot,Municipal,Hull WWTF,486567.75999999995,3,Detected,2024-11-21T00:00:00Z,copies/L,Hull,MA,Plymouth,2025-06-12T00:00:00Z,2024-11-21,current
2024-2025,BioBot,Municipal,MWRA Southern,1145344.5285714287,7,Detected,2025-01-04T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-01-04,current
2024-2025,BioBot,Municipal,Fall River WWTP,83486.37714285715,7,Detected,2025-02-26T00:00:00Z,copies/L,Fall River,MA,Bristol,2025-06-12T00:00:00Z,2025-02-26,current
2024-2025,BioBot,Municipal,MWRA Southern,555667.2828571427,7,Detected,2024-07-02T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2024-07-02,current
2024-2025,BioBot,Municipal,MWRA Southern,1035384.832857143,7,Detected,2025-01-02T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-01-02,current
2024-2025,BioBot,Municipal,Greater Lawrence Sanitary District,406243.6625,4,Detected,2025-02-17T00:00:00Z,copies/L,North Andover,MA,Essex,2025-06-12T00:00:00Z,2025-02-17,current
2024-2025,BioBot,Municipal,Pittsfield WWTP,54088.84,4,Detected,2025-05-28T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2025-06-12T00:00:00Z,2025-05-28,current
2024-2025,BioBot,Municipal,Greater Lawrence Sanitary District,1871582.88,4,Detected,2024-08-14T00:00:00Z,copies/L,North Andover,MA,Essex,2025-06-12T00:00:00Z,2024-08-14,current
2024-2025,BioBot,Municipal,MWRA Southern,179644.74714285714,7,Detected,2024-10-27T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2024-10-27,current
2024-2025,BioBot,Municipal,Fall River WWTP,10613.648571428572,7,Detected,2025-05-30T00:00:00Z,copies/L,Fall River,MA,Bristol,2025-06-12T00:00:00Z,2025-05-30,current
2024-2025,BioBot,Municipal,S.Deerfield WWTP,198097.06333333332,3,Detected,2024-09-12T00:00:00Z,copies/L,Deerfield,MA,Franklin,2025-06-12T00:00:00Z,2024-09-12,current
2024-2025,BioBot,Municipal,MWRA Southern,486682.63714285713,7,Detected,2025-03-05T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-03-05,current
2024-2025,BioBot,Municipal,Whitman,726552.345,4,Detected,2025-02-27T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-06-12T00:00:00Z,2025-02-27,current
2024-2025,BioBot,Municipal,Lynn WWTF,202637.84666666668,3,Detected,2024-11-07T00:00:00Z,copies/L,Lynn,MA,Essex,2025-06-12T00:00:00Z,2024-11-07,current
2024-2025,BioBot,Municipal,Upper Blackstone Clean Water,316210.74,4,Detected,2025-03-18T00:00:00Z,copies/L,Worcester,MA,Worcester,2025-06-12T00:00:00Z,2025-03-18,current
2024-2025,BioBot,Municipal,Hull WWTF,156472.05999999997,3,Detected,2025-04-30T00:00:00Z,copies/L,Hull,MA,Plymouth,2025-06-12T00:00:00Z,2025-04-30,current
2024-2025,BioBot,Municipal,Fall River WWTP,299065.976,5,Detected,2024-07-08T00:00:00Z,copies/L,Fall River,MA,Bristol,2025-06-12T00:00:00Z,2024-07-08,current
2024-2025,BioBot,Municipal,Fitchburg Public Works,419473.7225,4,Detected,2025-04-08T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2025-06-12T00:00:00Z,2025-04-08,current
2024-2025,BioBot,Municipal,Lynn WWTF,1022730.5099999999,3,Detected,2024-07-24T00:00:00Z,copies/L,Lynn,MA,Essex,2025-06-12T00:00:00Z,2024-07-24,current
2024-2025,BioBot,Municipal,MWRA Northern,129157.53714285714,7,Detected,2025-05-26T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-05-26,current
2024-2025,BioBot,Municipal,Brockton/ Abington,1164001.0925,4,Detected,2024-08-06T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-06-12T00:00:00Z,2024-08-06,current
2024-2025,BioBot,Municipal,Hull WWTF,268077.48333333334,3,Detected,2025-03-12T00:00:00Z,copies/L,Hull,MA,Plymouth,2025-06-12T00:00:00Z,2025-03-12,current
2024-2025,BioBot,Municipal,MWRA Northern,624938.337142857,7,Detected,2025-01-15T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-01-15,current
2024-2025,BioBot,Municipal,Hull WWTF,445590.38333333336,3,Detected,2025-03-19T00:00:00Z,copies/L,Hull,MA,Plymouth,2025-06-12T00:00:00Z,2025-03-19,current
2024-2025,BioBot,Municipal,Greater Lawrence Sanitary District,760846.925,4,Detected,2024-07-30T00:00:00Z,copies/L,North Andover,MA,Essex,2025-06-12T00:00:00Z,2024-07-30,current
2024-2025,BioBot,Municipal,MWRA Southern,728831.9557142856,7,Detected,2024-07-10T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2024-07-10,current
2024-2025,BioBot,Municipal,MWRA Southern,104687.50714285715,7,Detected,2025-05-25T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-05-25,current
2024-2025,BioBot,Municipal,Lynn WWTF,125615.10333333333,3,Detected,2024-10-17T00:00:00Z,copies/L,Lynn,MA,Essex,2025-06-12T00:00:00Z,2024-10-17,current
2024-2025,BioBot,Municipal,MWRA Northern,565808.9357142857,7,Detected,2025-02-03T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-02-03,current
2024-2025,BioBot,Municipal,Hull WWTF,663494.1266666666,3,Detected,2024-09-11T00:00:00Z,copies/L,Hull,MA,Plymouth,2025-06-12T00:00:00Z,2024-09-11,current
2024-2025,BioBot,Municipal,Fitchburg Public Works,424410.515,4,Detected,2025-03-26T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2025-06-12T00:00:00Z,2025-03-26,current
2024-2025,BioBot,Municipal,MWRA Southern,646069.5728571428,7,Detected,2024-12-16T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2024-12-16,current
2024-2025,BioBot,Municipal,MWRA Northern,343155.82714285713,7,Detected,2025-02-14T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-02-14,current
2024-2025,BioBot,Municipal,Fitchburg Public Works,758660.1300000001,4,Detected,2025-02-11T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2025-06-12T00:00:00Z,2025-02-11,current
2024-2025,BioBot,Municipal,Greater Lawrence Sanitary District,1014512.0325,4,Detected,2025-01-13T00:00:00Z,copies/L,North Andover,MA,Essex,2025-06-12T00:00:00Z,2025-01-13,current
2024-2025,BioBot,Municipal,Greater Lawrence Sanitary District,1039052.6324999998,4,Detected,2024-09-09T00:00:00Z,copies/L,North Andover,MA,Essex,2025-06-12T00:00:00Z,2024-09-09,current
2024-2025,BioBot,Municipal,Whitman,185184.28,4,Detected,2025-05-06T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-06-12T00:00:00Z,2025-05-06,current
2024-2025,BioBot,Municipal,Lynn WWTF,156152.21,2,Detected,2025-02-26T00:00:00Z,copies/L,Lynn,MA,Essex,2025-06-12T00:00:00Z,2025-02-26,current
2024-2025,BioBot,Municipal,Uxbridge WWTF,781316.7966666665,3,Detected,2024-11-07T00:00:00Z,copies/L,Uxbridge,MA,Worcester,2025-06-12T00:00:00Z,2024-11-07,current
2024-2025,BioBot,Municipal,Whitman,2099821.036,5,Detected,2024-10-09T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-06-12T00:00:00Z,2024-10-09,current
2024-2025,BioBot,Municipal,Pittsfield WWTP,1984065.4825,4,Detected,2024-09-13T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2025-06-12T00:00:00Z,2024-09-13,current
2024-2025,BioBot,Municipal,MWRA Southern,454695.8914285715,7,Detected,2024-12-02T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2024-12-02,current
2024-2025,BioBot,Municipal,Fitchburg Public Works,278262.61000000004,3,Detected,2024-11-13T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2025-06-12T00:00:00Z,2024-11-13,current
2024-2025,BioBot,Municipal,Fitchburg Public Works,864456.2174999999,4,Detected,2024-07-18T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2025-06-12T00:00:00Z,2024-07-18,current
2024-2025,BioBot,Municipal,Pittsfield WWTP,1551705.9080000003,5,Detected,2025-01-28T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2025-06-12T00:00:00Z,2025-01-28,current
2024-2025,BioBot,Municipal,Wareham WPCF,216169.11333333337,3,Detected,2025-04-15T00:00:00Z,copies/L,Wareham,MA,Plymouth,2025-06-12T00:00:00Z,2025-04-15,current
2024-2025,BioBot,Municipal,Montague Clean Water Facility,2031042.59,4,Detected,2025-01-28T00:00:00Z,copies/L,Montague,MA,Franklin,2025-06-12T00:00:00Z,2025-01-28,current
2024-2025,BioBot,Municipal,MWRA Northern,402041.5657142857,7,Detected,2025-04-04T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-04-04,current
2024-2025,BioBot,Municipal,Greenfield WPCF,1245365.95,2,Detected,2024-10-03T00:00:00Z,copies/L,Greenfield,MA,Franklin,2025-06-12T00:00:00Z,2024-10-03,current
2024-2025,BioBot,Municipal,Plymouth Headworks Influent,349500.345,2,Detected,2025-03-27T00:00:00Z,copies/L,Plymouth,MA,Plymouth,2025-06-12T00:00:00Z,2025-03-27,current
2024-2025,BioBot,Municipal,Upper Blackstone Clean Water,1191329.78,3,Detected,2024-09-03T00:00:00Z,copies/L,Worcester,MA,Worcester,2025-06-12T00:00:00Z,2024-09-03,current
2024-2025,BioBot,Municipal,Hull WWTF,278046.89666666667,3,Detected,2025-05-07T00:00:00Z,copies/L,Hull,MA,Plymouth,2025-06-12T00:00:00Z,2025-05-07,current
2024-2025,BioBot,Municipal,Plymouth Headworks Influent,450721.86000000004,3,Detected,2024-07-02T00:00:00Z,copies/L,Plymouth,MA,Plymouth,2025-06-12T00:00:00Z,2024-07-02,current
2024-2025,BioBot,Municipal,Hull WWTF,2863273.403333334,3,Detected,2024-12-12T00:00:00Z,copies/L,Hull,MA,Plymouth,2025-06-12T00:00:00Z,2024-12-12,current
2024-2025,BioBot,Municipal,Fitchburg Public Works,244212.09,4,Detected,2025-05-01T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2025-06-12T00:00:00Z,2025-05-01,current
2024-2025,BioBot,Municipal,Hull WWTF,3493547.8666666667,3,Detected,2024-08-28T00:00:00Z,copies/L,Hull,MA,Plymouth,2025-06-12T00:00:00Z,2024-08-28,current
2024-2025,BioBot,Municipal,MWRA Southern,318593.6857142857,7,Detected,2025-03-10T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-03-10,current
2024-2025,BioBot,Municipal,Fitchburg Public Works,1635284.36,3,Detected,2025-01-23T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2025-06-12T00:00:00Z,2025-01-23,current
2024-2025,BioBot,Municipal,MWRA Northern,316835.1557142857,7,Detected,2025-03-29T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-03-29,current
2024-2025,BioBot,Municipal,Greater Lawrence Sanitary District,381438.2,4,Detected,2025-03-31T00:00:00Z,copies/L,North Andover,MA,Essex,2025-06-12T00:00:00Z,2025-03-31,current
2024-2025,BioBot,Municipal,MWRA Southern,111582.17285714285,7,Detected,2025-05-10T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-06-12T00:00:00Z,2025-05-10,current
2024-2025,BioBot,Municipal,Pittsfield WWTP,242683.6925,4,Detected,2025-03-11T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2025-06-12T00:00:00Z,2025-03-11,current
