respiratory_season,tester,site_type,name_of_sampling_location,7_day_average_of_sars-cov-2_concentration,number_of_samples_in_the_last_7_days,sars-cov-2_detected,sample_collection_date,units_(measuring_concentration),city_of_sampling_location,state_of_sampling_location,county_of_sampling_location,date_data_last_updated,date,source
2025-2026,BioBot,Municipal,Brockton/ Abington,460489.4550000001,4,Detected,2025-08-19T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-09-11T00:00:00Z,2025-08-19,current
2025-2026,BioBot,Municipal,Fall River WWTP,27057.1425,4,Detected,2025-07-29T00:00:00Z,copies/L,Fall River,MA,Bristol,2025-09-11T00:00:00Z,2025-07-29,current
2025-2026,BioBot,Municipal,MWRA Southern,113829.56714285712,7,Detected,2025-07-15T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-07-15,current
2025-2026,BioBot,Municipal,Pittsfield WWTP,160267.85749999998,4,Detected,2025-08-01T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2025-09-11T00:00:00Z,2025-08-01,current
2025-2026,BioBot,Municipal,Upper Blackstone Clean Water,120558.0975,4,Detected,2025-07-09T00:00:00Z,copies/L,Worcester,MA,Worcester,2025-09-11T00:00:00Z,2025-07-09,current
2025-2026,BioBot,Municipal,Brockton/ Abington,787375.2733333333,3,Detected,2025-08-25T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-09-11T00:00:00Z,2025-08-25,current
2025-2026,BioBot,Municipal,Lynn WWTF,233299.295,2,Detected,2025-08-13T00:00:00Z,copies/L,Lynn,MA,Essex,2025-09-11T00:00:00Z,2025-08-13,current
2025-2026,BioBot,Municipal,MWRA Northern,299345.85142857145,7,Detected,2025-08-22T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-08-22,current
2025-2026,BioBot,Municipal,MWRA Northern,263026.79,7,Detected,2025-08-13T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-08-13,current
2025-2026,BioBot,Municipal,Montague Clean Water Facility,2287696.2033333336,3,Detected,2025-08-20T00:00:00Z,copies/L,Montague,MA,Franklin,2025-09-11T00:00:00Z,2025-08-20,current
2025-2026,BioBot,Municipal,Hull WWTF,613610.8866666667,3,Detected,2025-09-04T00:00:00Z,copies/L,Hull,MA,Plymouth,2025-09-11T00:00:00Z,2025-09-04,current
2025-2026,BioBot,Municipal,Uxbridge WWTF,830235.8466666667,3,Detected,2025-09-03T00:00:00Z,copies/L,Uxbridge,MA,Worcester,2025-09-11T00:00:00Z,2025-09-03,current
2025-2026,BioBot,Municipal,Montague Clean Water Facility,10552.87,3,Detected,2025-07-16T00:00:00Z,copies/L,Montague,MA,Franklin,2025-09-11T00:00:00Z,2025-07-16,current
2025-2026,BioBot,Municipal,MWRA Southern,337475.8685714286,7,Detected,2025-08-30T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-08-30,current
2025-2026,BioBot,Municipal,Whitman,3966161.4066666667,3,Detected,2025-09-03T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-09-11T00:00:00Z,2025-09-03,current
2025-2026,BioBot,Municipal,Pittsfield WWTP,95980.852,5,Detected,2025-07-02T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2025-09-11T00:00:00Z,2025-07-02,current
2025-2026,BioBot,Municipal,Montague Clean Water Facility,0,3,Not Detected,2025-07-09T00:00:00Z,copies/L,Montague,MA,Franklin,2025-09-11T00:00:00Z,2025-07-09,current
2025-2026,BioBot,Municipal,Montague Clean Water Facility,515223,2,Detected,2025-07-23T00:00:00Z,copies/L,Montague,MA,Franklin,2025-09-11T00:00:00Z,2025-07-23,current
2025-2026,BioBot,Municipal,MWRA Northern,241489.11000000002,7,Detected,2025-08-12T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-08-12,current
2025-2026,BioBot,Municipal,MWRA Northern,166267.65142857144,7,Detected,2025-08-06T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-08-06,current
2025-2026,BioBot,Municipal,Pittsfield WWTP,311267.505,4,Detected,2025-08-19T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2025-09-11T00:00:00Z,2025-08-19,current
2025-2026,BioBot,Municipal,Whitman,4754843.44,3,Detected,2025-09-04T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-09-11T00:00:00Z,2025-09-04,current
2025-2026,BioBot,Municipal,Upper Blackstone Clean Water,280460.54000000004,4,Detected,2025-07-22T00:00:00Z,copies/L,Worcester,MA,Worcester,2025-09-11T00:00:00Z,2025-07-22,current
2025-2026,BioBot,Municipal,Brockton/ Abington,464985.885,4,Detected,2025-08-11T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-09-11T00:00:00Z,2025-08-11,current
2025-2026,BioBot,Municipal,MWRA Southern,241345.39857142858,7,Detected,2025-08-09T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-08-09,current
2025-2026,BioBot,Municipal,MWRA Northern,276252.88999999996,7,Detected,2025-08-14T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-08-14,current
2025-2026,BioBot,Municipal,MWRA Northern,271907.57714285713,7,Detected,2025-08-15T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-08-15,current
2025-2026,BioBot,Municipal,MWRA Southern,122037.27428571427,7,Detected,2025-06-29T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-06-29,current
2025-2026,BioBot,Municipal,Plymouth Headworks Influent,145810.64,2,Detected,2025-07-24T00:00:00Z,copies/L,Plymouth,MA,Plymouth,2025-09-11T00:00:00Z,2025-07-24,current
2025-2026,BioBot,Municipal,Lynn WWTF,313958.85,2,Detected,2025-08-20T00:00:00Z,copies/L,Lynn,MA,Essex,2025-09-11T00:00:00Z,2025-08-20,current
2025-2026,BioBot,Municipal,Fitchburg Public Works,500692.895,4,Detected,2025-08-21T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2025-09-11T00:00:00Z,2025-08-21,current
2025-2026,BioBot,Municipal,Hull WWTF,276301.34,3,Detected,2025-08-28T00:00:00Z,copies/L,Hull,MA,Plymouth,2025-09-11T00:00:00Z,2025-08-28,current
2025-2026,BioBot,Municipal,Plymouth Headworks Influent,76773.52,3,Detected,2025-07-16T00:00:00Z,copies/L,Plymouth,MA,Plymouth,2025-09-11T00:00:00Z,2025-07-16,current
2025-2026,BioBot,Municipal,Uxbridge WWTF,841348.8833333333,3,Detected,2025-08-28T00:00:00Z,copies/L,Uxbridge,MA,Worcester,2025-09-11T00:00:00Z,2025-08-28,current
2025-2026,BioBot,Municipal,MWRA Northern,108929.46428571429,7,Detected,2025-07-15T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-07-15,current
2025-2026,BioBot,Municipal,MWRA Northern,294724.58142857143,7,Detected,2025-08-21T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-08-21,current
2025-2026,BioBot,Municipal,Lynn WWTF,119142.80333333334,3,Detected,2025-08-06T00:00:00Z,copies/L,Lynn,MA,Essex,2025-09-11T00:00:00Z,2025-08-06,current
2025-2026,BioBot,Municipal,MWRA Southern,111430.71857142856,7,Detected,2025-07-08T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-07-08,current
2025-2026,BioBot,Municipal,MWRA Southern,268243.34714285715,7,Detected,2025-08-15T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-08-15,current
2025-2026,BioBot,Municipal,MWRA Southern,101197.76285714286,7,Detected,2025-07-03T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-07-03,current
2025-2026,BioBot,Municipal,Brockton/ Abington,173082.03,3,Detected,2025-07-07T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-09-11T00:00:00Z,2025-07-07,current
2025-2026,BioBot,Municipal,Brockton/ Abington,54688.34,4,Detected,2025-07-01T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-09-11T00:00:00Z,2025-07-01,current
2025-2026,BioBot,Municipal,MWRA Southern,326050.85714285716,7,Detected,2025-08-21T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-08-21,current
2025-2026,BioBot,Municipal,Montague Clean Water Facility,38558.613333333335,3,Detected,2025-08-06T00:00:00Z,copies/L,Montague,MA,Franklin,2025-09-11T00:00:00Z,2025-08-06,current
2025-2026,BioBot,Municipal,Fitchburg Public Works,256402.9425,4,Detected,2025-07-01T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2025-09-11T00:00:00Z,2025-07-01,current
2025-2026,BioBot,Municipal,Upper Blackstone Clean Water,100186.48250000001,4,Detected,2025-07-07T00:00:00Z,copies/L,Worcester,MA,Worcester,2025-09-11T00:00:00Z,2025-07-07,current
2025-2026,BioBot,Municipal,Hull WWTF,534875.44,3,Detected,2025-08-13T00:00:00Z,copies/L,Hull,MA,Plymouth,2025-09-11T00:00:00Z,2025-08-13,current
2025-2026,BioBot,Municipal,MWRA Northern,125883.31428571428,7,Detected,2025-07-22T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-07-22,current
2025-2026,BioBot,Municipal,MWRA Southern,138184.4985714286,7,Detected,2025-07-22T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-07-22,current
2025-2026,BioBot,Municipal,Greenfield WPCF,136559.775,2,Detected,2025-07-10T00:00:00Z,copies/L,Greenfield,MA,Franklin,2025-09-11T00:00:00Z,2025-07-10,current
2025-2026,BioBot,Municipal,MWRA Southern,149925.23142857145,7,Detected,2025-07-19T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-07-19,current
2025-2026,BioBot,Municipal,Lynn WWTF,179964.04333333333,3,Detected,2025-07-30T00:00:00Z,copies/L,Lynn,MA,Essex,2025-09-11T00:00:00Z,2025-07-30,current
2025-2026,BioBot,Municipal,Wareham WPCF,200732.19,4,Detected,2025-08-20T00:00:00Z,copies/L,Wareham,MA,Plymouth,2025-09-11T00:00:00Z,2025-08-20,current
2025-2026,BioBot,Municipal,Hull WWTF,150237.74333333332,3,Detected,2025-07-10T00:00:00Z,copies/L,Hull,MA,Plymouth,2025-09-11T00:00:00Z,2025-07-10,current
2025-2026,BioBot,Municipal,Wareham WPCF,1012015.8375,4,Detected,2025-08-27T00:00:00Z,copies/L,Wareham,MA,Plymouth,2025-09-11T00:00:00Z,2025-08-27,current
2025-2026,BioBot,Municipal,S.Deerfield WWTP,519135.63,2,Detected,2025-07-23T00:00:00Z,copies/L,Deerfield,MA,Franklin,2025-09-11T00:00:00Z,2025-07-23,current
2025-2026,BioBot,Municipal,Lynn WWTF,84019.37666666666,3,Detected,2025-07-17T00:00:00Z,copies/L,Lynn,MA,Essex,2025-09-11T00:00:00Z,2025-07-17,current
2025-2026,BioBot,Municipal,Hull WWTF,103536.35666666667,3,Detected,2025-07-09T00:00:00Z,copies/L,Hull,MA,Plymouth,2025-09-11T00:00:00Z,2025-07-09,current
2025-2026,BioBot,Municipal,Brockton/ Abington,185211.39750000002,4,Detected,2025-07-14T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-09-11T00:00:00Z,2025-07-14,current
2025-2026,BioBot,Municipal,MWRA Northern,80043.14571428571,7,Detected,2025-07-10T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-07-10,current
2025-2026,BioBot,Municipal,Brockton/ Abington,778192.7766666667,3,Detected,2025-08-26T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-09-11T00:00:00Z,2025-08-26,current
2025-2026,BioBot,Municipal,Fall River WWTP,25180.195,4,Detected,2025-07-28T00:00:00Z,copies/L,Fall River,MA,Bristol,2025-09-11T00:00:00Z,2025-07-28,current
2025-2026,BioBot,Municipal,MWRA Southern,210701.3257142857,7,Detected,2025-08-06T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-08-06,current
2025-2026,BioBot,Municipal,Upper Blackstone Clean Water,634745.03,4,Detected,2025-08-06T00:00:00Z,copies/L,Worcester,MA,Worcester,2025-09-11T00:00:00Z,2025-08-06,current
2025-2026,BioBot,Municipal,Greenfield WPCF,93958.905,2,Detected,2025-07-03T00:00:00Z,copies/L,Greenfield,MA,Franklin,2025-09-11T00:00:00Z,2025-07-03,current
2025-2026,BioBot,Municipal,Fitchburg Public Works,306271.48333333334,3,Not Detected,2025-09-04T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2025-09-11T00:00:00Z,2025-09-04,current
2025-2026,BioBot,Municipal,Fall River WWTP,12077.036,5,Detected,2025-06-30T00:00:00Z,copies/L,Fall River,MA,Bristol,2025-09-11T00:00:00Z,2025-06-30,current
2025-2026,BioBot,Municipal,S.Deerfield WWTP,32988.445,2,Detected,2025-07-08T00:00:00Z,copies/L,Deerfield,MA,Franklin,2025-09-11T00:00:00Z,2025-07-08,current
2025-2026,BioBot,Municipal,Plymouth Headworks Influent,274160.18333333335,3,Detected,2025-08-28T00:00:00Z,copies/L,Plymouth,MA,Plymouth,2025-09-11T00:00:00Z,2025-08-28,current
2025-2026,BioBot,Municipal,MWRA Northern,117859.06857142855,7,Detected,2025-07-19T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-07-19,current
2025-2026,BioBot,Municipal,MWRA Northern,139483.27714285714,7,Detected,2025-07-27T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-07-27,current
2025-2026,BioBot,Municipal,MWRA Northern,81122.20857142856,7,Detected,2025-07-08T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-07-08,current
2025-2026,BioBot,Municipal,MWRA Southern,223150.5514285714,7,Detected,2025-08-07T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-08-07,current
2025-2026,BioBot,Municipal,Upper Blackstone Clean Water,95696.4975,4,Detected,2025-07-15T00:00:00Z,copies/L,Worcester,MA,Worcester,2025-09-11T00:00:00Z,2025-07-15,current
2025-2026,BioBot,Municipal,MWRA Southern,93083.8642857143,7,Detected,2025-07-12T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-07-12,current
2025-2026,BioBot,Municipal,Hull WWTF,171054.65666666665,3,Detected,2025-07-02T00:00:00Z,copies/L,Hull,MA,Plymouth,2025-09-11T00:00:00Z,2025-07-02,current
2025-2026,BioBot,Municipal,Billerica Treatment Plant,249067.28000000003,2,Detected,2025-07-23T00:00:00Z,copies/L,Billerica,MA,Middlesex,2025-09-11T00:00:00Z,2025-07-23,current
2025-2026,BioBot,Municipal,Fall River WWTP,22761.526,5,Detected,2025-07-14T00:00:00Z,copies/L,Fall River,MA,Bristol,2025-09-11T00:00:00Z,2025-07-14,current
2025-2026,BioBot,Municipal,Brockton/ Abington,751411.7233333333,3,Detected,2025-09-02T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-09-11T00:00:00Z,2025-09-02,current
2025-2026,BioBot,Municipal,Pittsfield WWTP,102010.8525,4,Detected,2025-08-04T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2025-09-11T00:00:00Z,2025-08-04,current
2025-2026,BioBot,Municipal,Montague Clean Water Facility,146534.67666666667,3,Detected,2025-08-04T00:00:00Z,copies/L,Montague,MA,Franklin,2025-09-11T00:00:00Z,2025-08-04,current
2025-2026,BioBot,Municipal,New Bedford WWTF,292670.3,1,Detected,2025-08-12T00:00:00Z,copies/L,New Bedford,MA,Bristol,2025-09-11T00:00:00Z,2025-08-12,current
2025-2026,BioBot,Municipal,SESD-Peabody/Salem Pump,133213.5875,4,Detected,2025-07-12T00:00:00Z,copies/L,Salem,MA,Essex,2025-09-11T00:00:00Z,2025-07-12,current
2025-2026,BioBot,Municipal,Lowell Regional WWTF,219153.65,1,Detected,2025-08-12T00:00:00Z,copies/L,Lowell,MA,Middlesex,2025-09-11T00:00:00Z,2025-08-12,current
2025-2026,BioBot,Municipal,Brockton/ Abington,73373.795,4,Detected,2025-06-29T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-09-11T00:00:00Z,2025-06-29,current
2025-2026,BioBot,Municipal,SESD-Peabody/Salem Pump,192828.90500000003,4,Detected,2025-07-18T00:00:00Z,copies/L,Salem,MA,Essex,2025-09-11T00:00:00Z,2025-07-18,current
2025-2026,BioBot,Municipal,Sunderland WWTP,608266.7,1,Detected,2025-07-16T00:00:00Z,copies/L,Sunderland,MA,Franklin,2025-09-11T00:00:00Z,2025-07-16,current
2025-2026,BioBot,Municipal,Hopedale WWTP,432019.11,2,Detected,2025-08-21T00:00:00Z,copies/L,Hopedale,MA,Worcester,2025-09-11T00:00:00Z,2025-08-21,current
2025-2026,BioBot,Municipal,SESD-Peabody Metering Station,403358.7125,4,Detected,2025-08-21T00:00:00Z,copies/L,Salem,MA,Essex,2025-09-11T00:00:00Z,2025-08-21,current
2025-2026,BioBot,Municipal,New Bedford WWTF,312102.75,1,Detected,2025-08-26T00:00:00Z,copies/L,New Bedford,MA,Bristol,2025-09-11T00:00:00Z,2025-08-26,current
2025-2026,BioBot,Municipal,Uxbridge WWTF,786322.1233333334,3,Detected,2025-09-02T00:00:00Z,copies/L,Uxbridge,MA,Worcester,2025-09-11T00:00:00Z,2025-09-02,current
2025-2026,BioBot,Municipal,SESD-Peabody/Salem Pump,156342.515,4,Detected,2025-08-05T00:00:00Z,copies/L,Salem,MA,Essex,2025-09-11T00:00:00Z,2025-08-05,current
2025-2026,BioBot,Municipal,SESD-Peabody/Salem Pump,115623.67,4,Detected,2025-08-05T00:00:00Z,copies/L,Salem,MA,Essex,2025-09-11T00:00:00Z,2025-08-05,current
2025-2026,BioBot,Municipal,SESD-Peabody Metering Station,291475.44999999995,4,Detected,2025-08-19T00:00:00Z,copies/L,Salem,MA,Essex,2025-09-11T00:00:00Z,2025-08-19,current
2025-2026,BioBot,Municipal,Springfield WWTP,243487.16499999998,2,Detected,2025-08-14T00:00:00Z,copies/L,Agawam,MA,Hampden,2025-09-11T00:00:00Z,2025-08-14,current
2025-2026,BioBot,Municipal,Surfside WTF,414872.5733333333,3,Detected,2025-07-31T00:00:00Z,copies/L,Nantucket,MA,Nantucket,2025-09-11T00:00:00Z,2025-07-31,current
2025-2026,BioBot,Municipal,SESD-Peabody/Salem Pump,183391.225,4,Detected,2025-07-08T00:00:00Z,copies/L,Salem,MA,Essex,2025-09-11T00:00:00Z,2025-07-08,current
2025-2026,BioBot,Municipal,MFN Regional Wastewater District,448457.70999999996,2,Detected,2025-09-01T00:00:00Z,copies/L,Norton,MA,Bristol,2025-09-11T00:00:00Z,2025-09-01,current
2025-2026,BioBot,Municipal,Wareham WPCF,173462.4175,4,Detected,2025-07-25T00:00:00Z,copies/L,Wareham,MA,Plymouth,2025-09-11T00:00:00Z,2025-07-25,current
2025-2026,BioBot,Municipal,Whitman,1013177.94,4,Detected,2025-08-04T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-09-11T00:00:00Z,2025-08-04,current
2025-2026,BioBot,Municipal,SESD-Peabody/Salem Pump,143028.62,4,Detected,2025-07-04T00:00:00Z,copies/L,Salem,MA,Essex,2025-09-11T00:00:00Z,2025-07-04,current
2025-2026,BioBot,Municipal,Northampton WWTP,166116.89,1,Detected,2025-07-09T00:00:00Z,copies/L,Northampton,MA,Hampshire,2025-09-11T00:00:00Z,2025-07-09,current
2025-2026,BioBot,Municipal,Lowell Regional WWTF,966281.5,1,Detected,2025-08-26T00:00:00Z,copies/L,Lowell,MA,Middlesex,2025-09-11T00:00:00Z,2025-08-26,current
2025-2026,BioBot,Municipal,SESD-Peabody Metering Station,364828.75,3,Detected,2025-08-07T00:00:00Z,copies/L,Salem,MA,Essex,2025-09-11T00:00:00Z,2025-08-07,current
2025-2026,BioBot,Municipal,Haverhill WWTP,72628.54,1,Detected,2025-07-30T00:00:00Z,copies/L,Haverhill,MA,Essex,2025-09-11T00:00:00Z,2025-07-30,current
2025-2026,BioBot,Municipal,Springfield WWTP,233422.195,2,Detected,2025-07-09T00:00:00Z,copies/L,Agawam,MA,Hampden,2025-09-11T00:00:00Z,2025-07-09,current
2025-2026,BioBot,Municipal,Fall River WWTP,23058.04,5,Detected,2025-06-29T00:00:00Z,copies/L,Fall River,MA,Bristol,2025-09-11T00:00:00Z,2025-06-29,current
2025-2026,BioBot,Municipal,Billerica Treatment Plant,152567.26,1,Detected,2025-07-09T00:00:00Z,copies/L,Billerica,MA,Middlesex,2025-09-11T00:00:00Z,2025-07-09,current
2025-2026,BioBot,Municipal,Upper Blackstone Clean Water,1050665.905,4,Detected,2025-08-24T00:00:00Z,copies/L,Worcester,MA,Worcester,2025-09-11T00:00:00Z,2025-08-24,current
2025-2026,BioBot,Municipal,SESD-Peabody/Salem Pump,444805.5725,4,Detected,2025-08-21T00:00:00Z,copies/L,Salem,MA,Essex,2025-09-11T00:00:00Z,2025-08-21,current
2025-2026,BioBot,Municipal,S.Deerfield WWTP,147026.58333333334,3,Detected,2025-06-30T00:00:00Z,copies/L,Deerfield,MA,Franklin,2025-09-11T00:00:00Z,2025-06-30,current
2025-2026,BioBot,Municipal,Montague Clean Water Facility,1283178.12,3,Detected,2025-08-25T00:00:00Z,copies/L,Montague,MA,Franklin,2025-09-11T00:00:00Z,2025-08-25,current
2025-2026,BioBot,Municipal,SESD-Peabody/Salem Pump,742113.9933333333,3,Detected,2025-09-02T00:00:00Z,copies/L,Salem,MA,Essex,2025-09-11T00:00:00Z,2025-09-02,current
2025-2026,BioBot,Municipal,SESD-Peabody/Salem Pump,94617.85750000001,4,Detected,2025-06-30T00:00:00Z,copies/L,Salem,MA,Essex,2025-09-11T00:00:00Z,2025-06-30,current
2025-2026,BioBot,Municipal,Surfside WTF,962805.74,2,Detected,2025-08-21T00:00:00Z,copies/L,Nantucket,MA,Nantucket,2025-09-11T00:00:00Z,2025-08-21,current
2025-2026,BioBot,Municipal,Pittsfield WWTP,228961.31,4,Detected,2025-07-28T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2025-09-11T00:00:00Z,2025-07-28,current
2025-2026,BioBot,Municipal,Surfside WTF,129617.03,2,Detected,2025-08-07T00:00:00Z,copies/L,Nantucket,MA,Nantucket,2025-09-11T00:00:00Z,2025-08-07,current
