respiratory_season,tester,site_type,name_of_sampling_location,7_day_average_of_sars-cov-2_concentration,number_of_samples_in_the_last_7_days,sars-cov-2_detected,sample_collection_date,units_(measuring_concentration),city_of_sampling_location,state_of_sampling_location,county_of_sampling_location,date_data_last_updated,date,source
2025-2026,BioBot,Municipal,MWRA Southern,193186.09857142856,7,Detected,2025-07-26T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-07-26,current
2025-2026,BioBot,Municipal,MWRA Northern,158205.5142857143,7,Detected,2025-08-05T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-08-05,current
2025-2026,BioBot,Municipal,Whitman,195822.5,4,Detected,2025-07-29T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-09-11T00:00:00Z,2025-07-29,current
2025-2026,BioBot,Municipal,Upper Blackstone Clean Water,290133.6425,4,Detected,2025-07-29T00:00:00Z,copies/L,Worcester,MA,Worcester,2025-09-11T00:00:00Z,2025-07-29,current
2025-2026,BioBot,Municipal,Whitman,187986.4,4,Detected,2025-07-30T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-09-11T00:00:00Z,2025-07-30,current
2025-2026,BioBot,Municipal,Pittsfield WWTP,108376.69249999999,4,Detected,2025-07-15T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2025-09-11T00:00:00Z,2025-07-15,current
2025-2026,BioBot,Municipal,Plymouth Headworks Influent,125275.95333333332,3,Detected,2025-09-04T00:00:00Z,copies/L,Plymouth,MA,Plymouth,2025-09-11T00:00:00Z,2025-09-04,current
2025-2026,BioBot,Municipal,Fitchburg Public Works,230838.8975,4,Detected,2025-07-23T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2025-09-11T00:00:00Z,2025-07-23,current
2025-2026,BioBot,Municipal,Brockton/ Abington,192676.65000000002,3,Detected,2025-07-08T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-09-11T00:00:00Z,2025-07-08,current
2025-2026,BioBot,Municipal,S.Deerfield WWTP,221788.29750000002,4,Detected,2025-07-30T00:00:00Z,copies/L,Deerfield,MA,Franklin,2025-09-11T00:00:00Z,2025-07-30,current
2025-2026,BioBot,Municipal,MWRA Northern,78559.36142857141,7,Detected,2025-07-12T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-07-12,current
2025-2026,BioBot,Municipal,MWRA Northern,298325.87,7,Detected,2025-08-25T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-08-25,current
2025-2026,BioBot,Municipal,Whitman,414022.65,4,Detected,2025-08-26T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-09-11T00:00:00Z,2025-08-26,current
2025-2026,BioBot,Municipal,Fitchburg Public Works,184856.13,4,Detected,2025-07-02T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2025-09-11T00:00:00Z,2025-07-02,current
2025-2026,BioBot,Municipal,Upper Blackstone Clean Water,926610.865,4,Detected,2025-08-27T00:00:00Z,copies/L,Worcester,MA,Worcester,2025-09-11T00:00:00Z,2025-08-27,current
2025-2026,BioBot,Municipal,Pittsfield WWTP,136801.465,4,Detected,2025-07-08T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2025-09-11T00:00:00Z,2025-07-08,current
2025-2026,BioBot,Municipal,MWRA Northern,79882.63142857142,7,Detected,2025-07-11T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-07-11,current
2025-2026,BioBot,Municipal,MWRA Northern,144104.54428571428,7,Detected,2025-07-28T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-07-28,current
2025-2026,BioBot,Municipal,MWRA Southern,198568.2142857143,7,Detected,2025-08-02T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-08-02,current
2025-2026,BioBot,Municipal,Whitman,1173079.9974999998,4,Detected,2025-08-12T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-09-11T00:00:00Z,2025-08-12,current
2025-2026,BioBot,Municipal,MWRA Northern,132038.38142857142,7,Detected,2025-07-25T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-07-25,current
2025-2026,BioBot,Municipal,Whitman,175893.1325,4,Detected,2025-07-22T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-09-11T00:00:00Z,2025-07-22,current
2025-2026,BioBot,Municipal,Pittsfield WWTP,109504.10250000001,4,Detected,2025-08-05T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2025-09-11T00:00:00Z,2025-08-05,current
2025-2026,BioBot,Municipal,MWRA Northern,101205.55285714286,7,Detected,2025-07-03T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-07-03,current
2025-2026,BioBot,Municipal,MWRA Northern,98766.06714285715,7,Detected,2025-07-04T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-09-11T00:00:00Z,2025-07-04,current
