respiratory_season,tester,site_type,name_of_sampling_location,7_day_average_of_sars-cov-2_concentration,number_of_samples_in_the_last_7_days,sars-cov-2_detected,sample_collection_date,units_(measuring_concentration),city_of_sampling_location,state_of_sampling_location,county_of_sampling_location,date_data_last_updated,date,source
2024-2025,BioBot,Municipal,Upper Blackstone Clean Water,1448119.8587500001,4,Detected,2024-08-14T00:00:00Z,copies/L,Worcester,MA,Worcester,2025-01-30T00:00:00Z,2024-08-14,current
2024-2025,BioBot,Municipal,Brockton/ Abington,1023104.12535,4,Detected,2024-08-26T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-01-30T00:00:00Z,2024-08-26,current
2024-2025,BioBot,Municipal,Upper Blackstone Clean Water,753412.71875,4,Detected,2024-12-09T00:00:00Z,copies/L,Worcester,MA,Worcester,2025-01-30T00:00:00Z,2024-12-09,current
2024-2025,BioBot,Municipal,MWRA Northern,547774.3004857143,7,Detected,2024-08-27T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-01-30T00:00:00Z,2024-08-27,current
2024-2025,BioBot,Municipal,Pittsfield WWTP,1630875.8754,4,Detected,2024-12-31T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2025-01-30T00:00:00Z,2024-12-31,current
2024-2025,BioBot,Municipal,Montague Clean Water Facility,1695592.3153333336,3,Detected,2024-07-23T00:00:00Z,copies/L,Montague,MA,Franklin,2025-01-30T00:00:00Z,2024-07-23,current
2024-2025,BioBot,Municipal,Hull WWTF,1185284.8836,3,Detected,2024-07-31T00:00:00Z,copies/L,Hull,MA,Plymouth,2025-01-30T00:00:00Z,2024-07-31,current
2024-2025,BioBot,Municipal,Montague Clean Water Facility,489591.26249999995,3,Detected,2024-08-07T00:00:00Z,copies/L,Montague,MA,Franklin,2025-01-30T00:00:00Z,2024-08-07,current
2024-2025,BioBot,Municipal,Plymouth Headworks Influent,131735.46907,2,Detected,2024-11-14T00:00:00Z,copies/L,Plymouth,MA,Plymouth,2025-01-30T00:00:00Z,2024-11-14,current
2024-2025,BioBot,Municipal,South Hadley Div. of WPC,254426.45375,4,Detected,2024-11-04T00:00:00Z,copies/L,Chicopee,MA,Hampden,2025-01-30T00:00:00Z,2024-11-04,current
2024-2025,BioBot,Municipal,Montague Clean Water Facility,400984.71523333335,3,Detected,2024-11-06T00:00:00Z,copies/L,Montague,MA,Franklin,2025-01-30T00:00:00Z,2024-11-06,current
2024-2025,BioBot,Municipal,Wareham WPCF,562312.640875,4,Detected,2024-07-11T00:00:00Z,copies/L,Wareham,MA,Plymouth,2025-01-30T00:00:00Z,2024-07-11,current
2024-2025,BioBot,Municipal,Fitchburg Public Works,858844.2873750001,4,Detected,2025-01-09T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2025-01-30T00:00:00Z,2025-01-09,current
