respiratory_season,tester,sars-cov-2_detected,sample_collection_date,site_type,name_of_sampling_location,7_day_average_of_sars-cov-2_concentration,number_of_samples_in_the_last_7_days,units_(measuring_concentration),city_of_sampling_location,state_of_sampling_location,county_of_sampling_location,date_data_last_updated,date,source
2025-2026,BioBot,Detected,2025-06-30T00:00:00Z,Municipal,MWRA Southern,115332.46571428572,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-06-30,current
2025-2026,BioBot,Detected,2025-08-11T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,257689.3625,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-08-11,current
2025-2026,BioBot,Detected,2025-07-18T00:00:00Z,Municipal,MWRA Northern,118550.49714285713,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-07-18,current
2025-2026,BioBot,Detected,2025-11-05T00:00:00Z,Municipal,Montague Clean Water Facility,886940.1333333333,3,copies/L,Montague,MA,Franklin,2025-11-13T00:00:00Z,2025-11-05,current
2025-2026,BioBot,Detected,2025-11-05T00:00:00Z,Municipal,Whitman,783596.3300000001,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-11-05,current
2025-2026,BioBot,Detected,2025-10-29T00:00:00Z,Municipal,Uxbridge WWTF,472273.5266666667,3,copies/L,Uxbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-10-29,current
2025-2026,BioBot,Detected,2025-10-29T00:00:00Z,Municipal,Uxbridge WWTF,608716.4066666666,3,copies/L,Uxbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-10-29,current
2025-2026,BioBot,Detected,2025-07-30T00:00:00Z,Municipal,Fall River WWTP,26809.775,4,copies/L,Fall River,MA,Bristol,2025-11-13T00:00:00Z,2025-07-30,current
2025-2026,BioBot,Detected,2025-07-10T00:00:00Z,Municipal,Lynn WWTF,80654.99333333333,3,copies/L,Lynn,MA,Essex,2025-11-13T00:00:00Z,2025-07-10,current
2025-2026,BioBot,Detected,2025-08-18T00:00:00Z,Municipal,MWRA Northern,273380.53714285715,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-18,current
2025-2026,BioBot,Detected,2025-07-09T00:00:00Z,Municipal,Uxbridge WWTF,302314.19,2,copies/L,Uxbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-07-09,current
2025-2026,BioBot,Detected,2025-09-21T00:00:00Z,Municipal,MWRA Southern,343672.1328571429,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-09-21,current
2025-2026,BioBot,Detected,2025-10-28T00:00:00Z,Municipal,MWRA Northern,199360.33428571426,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-10-28,current
2025-2026,BioBot,Detected,2025-08-26T00:00:00Z,Municipal,Haverhill WWTP,149381.99,3,copies/L,Haverhill,MA,Essex,2025-11-13T00:00:00Z,2025-08-26,current
2025-2026,BioBot,Detected,2025-09-27T00:00:00Z,Municipal,MWRA Northern,206221.24857142856,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-09-27,current
2025-2026,BioBot,Detected,2025-08-07T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,160481.345,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-08-07,current
2025-2026,BioBot,Detected,2025-08-07T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,201200.19,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-08-07,current
2025-2026,BioBot,Detected,2025-09-18T00:00:00Z,Municipal,Brockton/ Abington,487989.5875,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-09-18,current
2025-2026,BioBot,Detected,2025-06-29T00:00:00Z,Municipal,Fall River WWTP,23058.04,5,copies/L,Fall River,MA,Bristol,2025-11-13T00:00:00Z,2025-06-29,current
2025-2026,BioBot,Detected,2025-07-02T00:00:00Z,Municipal,Uxbridge WWTF,56785.829999999994,4,copies/L,Uxbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-07-02,current
2025-2026,BioBot,Detected,2025-11-05T00:00:00Z,Municipal,Billerica Treatment Plant,290174.84500000003,2,copies/L,Billerica,MA,Middlesex,2025-11-13T00:00:00Z,2025-11-05,current
2025-2026,BioBot,Detected,2025-09-04T00:00:00Z,Municipal,MWRA Southern,342847.83571428567,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-09-04,current
2025-2026,BioBot,Detected,2025-08-14T00:00:00Z,Municipal,Brockton/ Abington,333029.625,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-08-14,current
2025-2026,BioBot,Detected,2025-09-11T00:00:00Z,Municipal,MWRA Northern,376681.72571428574,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-09-11,current
2025-2026,BioBot,Detected,2025-10-30T00:00:00Z,Municipal,Fitchburg Public Works,258711.58999999997,4,copies/L,Fitchburg,MA,Worcester,2025-11-13T00:00:00Z,2025-10-30,current
2025-2026,BioBot,Detected,2025-09-24T00:00:00Z,Municipal,Fitchburg Public Works,830930.5075000001,4,copies/L,Fitchburg,MA,Worcester,2025-11-13T00:00:00Z,2025-09-24,current
2025-2026,BioBot,Detected,2025-08-13T00:00:00Z,Municipal,Wareham WPCF,97455.2875,4,copies/L,Wareham,MA,Plymouth,2025-11-13T00:00:00Z,2025-08-13,current
2025-2026,BioBot,Detected,2025-08-20T00:00:00Z,Municipal,Upper Blackstone Clean Water,853475.7225,4,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-08-20,current
2025-2026,BioBot,Detected,2025-07-14T00:00:00Z,Municipal,MWRA Southern,97559.24571428569,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-07-14,current
