respiratory_season,tester,sars-cov-2_detected,sample_collection_date,site_type,name_of_sampling_location,7_day_average_of_sars-cov-2_concentration,number_of_samples_in_the_last_7_days,units_(measuring_concentration),city_of_sampling_location,state_of_sampling_location,county_of_sampling_location,date_data_last_updated,date,source
2025-2026,BioBot,Detected,2025-09-17T00:00:00Z,Municipal,Northbridge Sewer Department,607389.2566666667,3,copies/L,Northbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-09-17,current
2025-2026,BioBot,Detected,2025-07-23T00:00:00Z,Municipal,Fitchburg Public Works,230838.8975,4,copies/L,Fitchburg,MA,Worcester,2025-11-13T00:00:00Z,2025-07-23,current
2025-2026,BioBot,Detected,2025-10-20T00:00:00Z,Municipal,MWRA Southern,128841.81000000001,6,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-10-20,current
2025-2026,BioBot,Detected,2025-07-05T00:00:00Z,Municipal,MWRA Southern,104836.09999999999,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-07-05,current
2025-2026,BioBot,Detected,2025-09-25T00:00:00Z,Municipal,Pittsfield WWTP,427007.9,4,copies/L,Pittsfield,MA,Berkshire,2025-11-13T00:00:00Z,2025-09-25,current
2025-2026,BioBot,Detected,2025-08-22T00:00:00Z,Municipal,Greenfield WPCF,207417.215,2,copies/L,Greenfield,MA,Franklin,2025-11-13T00:00:00Z,2025-08-22,current
2025-2026,BioBot,Detected,2025-08-16T00:00:00Z,Municipal,MWRA Southern,271992.41,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-16,current
2025-2026,BioBot,Detected,2025-08-05T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,115623.67,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-08-05,current
2025-2026,BioBot,Detected,2025-09-23T00:00:00Z,Municipal,MWRA Southern,350595.2071428571,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-09-23,current
2025-2026,BioBot,Detected,2025-10-02T00:00:00Z,Municipal,Pittsfield WWTP,447813.2075,4,copies/L,Pittsfield,MA,Berkshire,2025-11-13T00:00:00Z,2025-10-02,current
2025-2026,BioBot,Detected,2025-08-19T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,399923.775,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-08-19,current
2025-2026,BioBot,Detected,2025-09-10T00:00:00Z,Municipal,MWRA Southern,326306.04714285716,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-09-10,current
2025-2026,BioBot,Detected,2025-08-13T00:00:00Z,Municipal,Whitman,1009261.1525,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-08-13,current
2025-2026,BioBot,Detected,2025-07-19T00:00:00Z,Municipal,MWRA Southern,149925.23142857145,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-07-19,current
2025-2026,BioBot,Detected,2025-11-03T00:00:00Z,Municipal,SESD-Peabody Metering Station,208940.92333333334,3,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-11-03,current
2025-2026,BioBot,Detected,2025-08-14T00:00:00Z,Municipal,MWRA Northern,276252.88999999996,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-14,current
2025-2026,BioBot,Detected,2025-08-27T00:00:00Z,Municipal,SESD-Peabody Metering Station,555716.89,3,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-08-27,current
2025-2026,BioBot,Detected,2025-07-24T00:00:00Z,Municipal,MWRA Northern,122671.20999999999,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-07-24,current
2025-2026,BioBot,Detected,2025-07-24T00:00:00Z,Municipal,Montague Clean Water Facility,355107.86333333334,3,copies/L,Montague,MA,Franklin,2025-11-13T00:00:00Z,2025-07-24,current
2025-2026,BioBot,Detected,2025-11-05T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,281832.3775,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-11-05,current
2025-2026,BioBot,Detected,2025-09-23T00:00:00Z,Municipal,Brockton/ Abington,392343.7325,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-09-23,current
2025-2026,BioBot,Detected,2025-09-08T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,504567.6674999999,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-09-08,current
2025-2026,BioBot,Detected,2025-07-22T00:00:00Z,Municipal,MWRA Northern,125883.31428571428,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-07-22,current
2025-2026,BioBot,Detected,2025-08-09T00:00:00Z,Municipal,MWRA Southern,241345.39857142858,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-09,current
2025-2026,BioBot,Detected,2025-10-14T00:00:00Z,Municipal,MWRA Southern,184918.67428571428,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-10-14,current
2025-2026,BioBot,Detected,2025-07-23T00:00:00Z,Municipal,Wareham WPCF,221444.5575,4,copies/L,Wareham,MA,Plymouth,2025-11-13T00:00:00Z,2025-07-23,current
2025-2026,BioBot,Detected,2025-08-13T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,255267.5525,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-08-13,current
2025-2026,BioBot,Detected,2025-11-05T00:00:00Z,Municipal,Fitchburg Public Works,375922.1725,4,copies/L,Fitchburg,MA,Worcester,2025-11-13T00:00:00Z,2025-11-05,current
2025-2026,BioBot,Detected,2025-09-25T00:00:00Z,Municipal,MWRA Northern,197399.74285714288,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-09-25,current
2025-2026,BioBot,Detected,2025-07-23T00:00:00Z,Municipal,MWRA Southern,136877.83285714287,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-07-23,current
2025-2026,BioBot,Detected,2025-07-22T00:00:00Z,Municipal,Fall River WWTP,25920.62,4,copies/L,Fall River,MA,Bristol,2025-11-13T00:00:00Z,2025-07-22,current
2025-2026,BioBot,Detected,2025-09-04T00:00:00Z,Municipal,SESD-Peabody Metering Station,890634.68,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-09-04,current
2025-2026,BioBot,Detected,2025-07-20T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,878790.8875000001,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-07-20,current
2025-2026,BioBot,Detected,2025-09-18T00:00:00Z,Municipal,Fitchburg Public Works,1340065.3925,4,copies/L,Fitchburg,MA,Worcester,2025-11-13T00:00:00Z,2025-09-18,current
2025-2026,BioBot,Detected,2025-10-08T00:00:00Z,Municipal,Billerica Treatment Plant,227802.005,2,copies/L,Billerica,MA,Middlesex,2025-11-13T00:00:00Z,2025-10-08,current
2025-2026,BioBot,Detected,2025-10-18T00:00:00Z,Municipal,SESD-Peabody Metering Station,766089.8225,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-10-18,current
2025-2026,BioBot,Detected,2025-07-20T00:00:00Z,Municipal,MWRA Northern,119896.08428571429,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-07-20,current
2025-2026,BioBot,Detected,2025-07-02T00:00:00Z,Municipal,Fall River WWTP,39830.6,5,copies/L,Fall River,MA,Bristol,2025-11-13T00:00:00Z,2025-07-02,current
2025-2026,BioBot,Detected,2025-08-27T00:00:00Z,Municipal,Billerica Treatment Plant,369083.48,2,copies/L,Billerica,MA,Middlesex,2025-11-13T00:00:00Z,2025-08-27,current
2025-2026,BioBot,Detected,2025-07-29T00:00:00Z,Municipal,Brockton/ Abington,319264.97,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-07-29,current
2025-2026,BioBot,Detected,2025-09-18T00:00:00Z,Municipal,Wareham WPCF,554969.7275,4,copies/L,Wareham,MA,Plymouth,2025-11-13T00:00:00Z,2025-09-18,current
2025-2026,BioBot,Detected,2025-09-04T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,673306.105,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-09-04,current
2025-2026,BioBot,Detected,2025-08-06T00:00:00Z,Municipal,MWRA Northern,166267.65142857144,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-06,current
2025-2026,BioBot,Detected,2025-07-16T00:00:00Z,Municipal,Fall River WWTP,27690.417999999998,5,copies/L,Fall River,MA,Bristol,2025-11-13T00:00:00Z,2025-07-16,current
2025-2026,BioBot,Detected,2025-07-22T00:00:00Z,Municipal,Upper Blackstone Clean Water,280460.54000000004,4,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-07-22,current
2025-2026,BioBot,Detected,2025-09-24T00:00:00Z,Municipal,S.Deerfield WWTP,131310.90333333335,3,copies/L,Deerfield,MA,Franklin,2025-11-13T00:00:00Z,2025-09-24,current
2025-2026,BioBot,Detected,2025-09-17T00:00:00Z,Municipal,Billerica Treatment Plant,797128.3700000001,2,copies/L,Billerica,MA,Middlesex,2025-11-13T00:00:00Z,2025-09-17,current
2025-2026,BioBot,Detected,2025-07-08T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,183391.225,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-07-08,current
2025-2026,BioBot,Detected,2025-09-30T00:00:00Z,Municipal,Upper Blackstone Clean Water,737683.3,4,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-09-30,current
2025-2026,BioBot,Detected,2025-09-17T00:00:00Z,Municipal,Whitman,1727660.9775,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-09-17,current
2025-2026,BioBot,Detected,2025-10-09T00:00:00Z,Municipal,MWRA Northern,146307.67142857143,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-10-09,current
2025-2026,BioBot,Detected,2025-08-27T00:00:00Z,Municipal,Montague Clean Water Facility,499781.6833333333,3,copies/L,Montague,MA,Franklin,2025-11-13T00:00:00Z,2025-08-27,current
2025-2026,BioBot,Detected,2025-08-17T00:00:00Z,Municipal,MWRA Southern,283648.46857142856,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-17,current
2025-2026,BioBot,Detected,2025-08-14T00:00:00Z,Municipal,Whitman,280937.2,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-08-14,current
2025-2026,BioBot,Detected,2025-08-19T00:00:00Z,Municipal,SESD-Peabody Metering Station,291475.44999999995,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-08-19,current
2025-2026,BioBot,Detected,2025-11-01T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,225324.60000000003,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-11-01,current
2025-2026,BioBot,Detected,2025-11-04T00:00:00Z,Municipal,MWRA Northern,122194.5942857143,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-11-04,current
2025-2026,BioBot,Detected,2025-10-19T00:00:00Z,Municipal,MWRA Southern,137933.14833333335,6,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-10-19,current
2025-2026,BioBot,Detected,2025-07-16T00:00:00Z,Municipal,MWRA Northern,118605.97714285714,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-07-16,current
2025-2026,BioBot,Detected,2025-10-09T00:00:00Z,Municipal,Fitchburg Public Works,251325.3125,4,copies/L,Fitchburg,MA,Worcester,2025-11-13T00:00:00Z,2025-10-09,current
2025-2026,BioBot,Detected,2025-10-07T00:00:00Z,Municipal,MWRA Northern,214085.30714285714,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-10-07,current
2025-2026,BioBot,Detected,2025-08-02T00:00:00Z,Municipal,MWRA Southern,198568.2142857143,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-02,current
2025-2026,BioBot,Detected,2025-10-23T00:00:00Z,Municipal,Springfield WWTP,189233.15,2,copies/L,Agawam,MA,Hampden,2025-11-13T00:00:00Z,2025-10-23,current
2025-2026,BioBot,Detected,2025-10-22T00:00:00Z,Municipal,Billerica Treatment Plant,248209.995,2,copies/L,Billerica,MA,Middlesex,2025-11-13T00:00:00Z,2025-10-22,current
2025-2026,BioBot,Detected,2025-09-28T00:00:00Z,Municipal,MWRA Northern,218978.2814285714,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-09-28,current
2025-2026,BioBot,Detected,2025-08-06T00:00:00Z,Municipal,Whitman,1198953.9,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-08-06,current
2025-2026,BioBot,Detected,2025-10-21T00:00:00Z,Municipal,MWRA Southern,121743.8,6,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-10-21,current
2025-2026,BioBot,Detected,2025-08-28T00:00:00Z,Municipal,Hull WWTF,276301.34,3,copies/L,Hull,MA,Plymouth,2025-11-13T00:00:00Z,2025-08-28,current
2025-2026,BioBot,Detected,2025-07-16T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,206685.36,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-07-16,current
2025-2026,BioBot,Detected,2025-09-24T00:00:00Z,Municipal,MWRA Southern,318977.1785714286,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-09-24,current
2025-2026,BioBot,Detected,2025-08-21T00:00:00Z,Municipal,Hull WWTF,1108985.6466666667,3,copies/L,Hull,MA,Plymouth,2025-11-13T00:00:00Z,2025-08-21,current
2025-2026,BioBot,Detected,2025-09-17T00:00:00Z,Municipal,Montague Clean Water Facility,417319.005,4,copies/L,Montague,MA,Franklin,2025-11-13T00:00:00Z,2025-09-17,current
2025-2026,BioBot,Detected,2025-08-09T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,211792.8175,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-08-09,current
2025-2026,BioBot,Detected,2025-08-09T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,252511.6625,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-08-09,current
2025-2026,BioBot,Detected,2025-09-25T00:00:00Z,Municipal,Hull WWTF,2117858.8433333333,3,copies/L,Hull,MA,Plymouth,2025-11-13T00:00:00Z,2025-09-25,current
2025-2026,BioBot,Detected,2025-09-09T00:00:00Z,Municipal,Upper Blackstone Clean Water,2017094.2574999998,4,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-09-09,current
2025-2026,BioBot,Detected,2025-07-23T00:00:00Z,Municipal,MWRA Northern,129728.7642857143,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-07-23,current
2025-2026,BioBot,Detected,2025-10-02T00:00:00Z,Municipal,Whitman,946499.0249999999,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-10-02,current
2025-2026,BioBot,Detected,2025-07-08T00:00:00Z,Municipal,Upper Blackstone Clean Water,136491.8825,4,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-07-08,current
2025-2026,BioBot,Detected,2025-09-02T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,742113.9933333333,3,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-09-02,current
2025-2026,BioBot,Detected,2025-10-29T00:00:00Z,Municipal,MWRA Northern,189381.2285714286,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-10-29,current
2025-2026,BioBot,Detected,2025-09-04T00:00:00Z,Municipal,MWRA Northern,329118.72142857144,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-09-04,current
2025-2026,BioBot,Detected,2025-07-22T00:00:00Z,Municipal,Brockton/ Abington,346760.39749999996,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-07-22,current
2025-2026,BioBot,Detected,2025-11-01T00:00:00Z,Municipal,MWRA Southern,108417.44571428571,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-11-01,current
2025-2026,BioBot,Detected,2025-09-24T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,433620.8625,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-09-24,current
2025-2026,BioBot,Detected,2025-10-22T00:00:00Z,Municipal,Montague Clean Water Facility,382227.3375,4,copies/L,Montague,MA,Franklin,2025-11-13T00:00:00Z,2025-10-22,current
2025-2026,BioBot,Detected,2025-09-10T00:00:00Z,Municipal,Upper Blackstone Clean Water,2155313.8274999997,4,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-09-10,current
2025-2026,BioBot,Detected,2025-08-20T00:00:00Z,Municipal,Whitman,538891.62,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-08-20,current
2025-2026,BioBot,Detected,2025-07-24T00:00:00Z,Municipal,Northbridge Sewer Department,68478.655,2,copies/L,Northbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-07-24,current
2025-2026,BioBot,Detected,2025-10-01T00:00:00Z,Municipal,S.Deerfield WWTP,290623.61666666664,3,copies/L,Deerfield,MA,Franklin,2025-11-13T00:00:00Z,2025-10-01,current
2025-2026,BioBot,Detected,2025-07-29T00:00:00Z,Municipal,MWRA Southern,237125.65714285715,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-07-29,current
2025-2026,BioBot,Detected,2025-10-15T00:00:00Z,Municipal,MWRA Southern,184930.38857142854,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-10-15,current
2025-2026,BioBot,Detected,2025-08-21T00:00:00Z,Municipal,Fitchburg Public Works,500692.895,4,copies/L,Fitchburg,MA,Worcester,2025-11-13T00:00:00Z,2025-08-21,current
2025-2026,BioBot,Detected,2025-10-16T00:00:00Z,Municipal,Amherst WWTP,55810.93333333333,3,copies/L,Hadley,MA,Hampshire,2025-11-13T00:00:00Z,2025-10-16,current
2025-2026,BioBot,Detected,2025-07-27T00:00:00Z,Municipal,MWRA Southern,201288.76714285716,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-07-27,current
2025-2026,BioBot,Detected,2025-07-17T00:00:00Z,Municipal,Brockton/ Abington,154809.635,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-07-17,current
2025-2026,BioBot,Detected,2025-10-18T00:00:00Z,Municipal,MWRA Northern,205956.59428571427,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-10-18,current
2025-2026,BioBot,Detected,2025-07-09T00:00:00Z,Municipal,S.Deerfield WWTP,25307.11333333333,3,copies/L,Deerfield,MA,Franklin,2025-11-13T00:00:00Z,2025-07-09,current
2025-2026,BioBot,Detected,2025-08-06T00:00:00Z,Municipal,MWRA Southern,210701.3257142857,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-06,current
2025-2026,BioBot,Detected,2025-10-29T00:00:00Z,Municipal,Billerica Treatment Plant,256501.09,2,copies/L,Billerica,MA,Middlesex,2025-11-13T00:00:00Z,2025-10-29,current
2025-2026,BioBot,Detected,2025-10-09T00:00:00Z,Municipal,Whitman,759680.8025,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-10-09,current
2025-2026,BioBot,Detected,2025-07-30T00:00:00Z,Municipal,Montague Clean Water Facility,124648.255,4,copies/L,Montague,MA,Franklin,2025-11-13T00:00:00Z,2025-07-30,current
2025-2026,BioBot,Detected,2025-08-21T00:00:00Z,Municipal,Amherst WWTP,171756.62,2,copies/L,Hadley,MA,Hampshire,2025-11-13T00:00:00Z,2025-08-21,current
2025-2026,BioBot,Detected,2025-11-06T00:00:00Z,Municipal,Wareham WPCF,222608.46666666667,3,copies/L,Wareham,MA,Plymouth,2025-11-13T00:00:00Z,2025-11-06,current
2025-2026,BioBot,Detected,2025-07-09T00:00:00Z,Municipal,MWRA Northern,74389.24857142857,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-07-09,current
2025-2026,BioBot,Detected,2025-10-29T00:00:00Z,Municipal,MWRA Southern,115036.71428571429,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-10-29,current
2025-2026,BioBot,Detected,2025-07-11T00:00:00Z,Municipal,MWRA Northern,79882.63142857142,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-07-11,current
2025-2026,BioBot,Detected,2025-07-07T00:00:00Z,Municipal,MWRA Northern,83798.37000000001,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-07-07,current
2025-2026,BioBot,Detected,2025-07-17T00:00:00Z,Municipal,Plymouth Headworks Influent,209206.50666666668,3,copies/L,Plymouth,MA,Plymouth,2025-11-13T00:00:00Z,2025-07-17,current
2025-2026,BioBot,Detected,2025-07-20T00:00:00Z,Municipal,SESD-Peabody Metering Station,228797.59000000003,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-07-20,current
2025-2026,BioBot,Detected,2025-08-19T00:00:00Z,Municipal,Fall River WWTP,34042.73,3,copies/L,Fall River,MA,Bristol,2025-11-13T00:00:00Z,2025-08-19,current
2025-2026,BioBot,Detected,2025-09-16T00:00:00Z,Municipal,Upper Blackstone Clean Water,908024.0375,4,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-09-16,current
2025-2026,BioBot,Detected,2025-08-19T00:00:00Z,Municipal,MWRA Northern,291161.8142857143,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-19,current
2025-2026,BioBot,Detected,2025-07-24T00:00:00Z,Municipal,Brockton/ Abington,429557.3625,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-07-24,current
2025-2026,BioBot,Detected,2025-08-31T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,826175.915,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-08-31,current
2025-2026,BioBot,Detected,2025-09-03T00:00:00Z,Municipal,Upper Blackstone Clean Water,795885.9166666666,3,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-09-03,current
2025-2026,BioBot,Detected,2025-07-15T00:00:00Z,Municipal,Fall River WWTP,23114.235999999997,5,copies/L,Fall River,MA,Bristol,2025-11-13T00:00:00Z,2025-07-15,current
2025-2026,BioBot,Detected,2025-10-16T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,321258.15750000003,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-10-16,current
2025-2026,BioBot,Detected,2025-10-01T00:00:00Z,Municipal,Fitchburg Public Works,325400.10666666663,3,copies/L,Fitchburg,MA,Worcester,2025-11-13T00:00:00Z,2025-10-01,current
2025-2026,BioBot,Detected,2025-08-08T00:00:00Z,Municipal,MWRA Southern,227391.71714285712,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-08,current
2025-2026,BioBot,Detected,2025-07-27T00:00:00Z,Municipal,SESD-Peabody Metering Station,216052.2133333333,3,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-07-27,current
2025-2026,BioBot,Detected,2025-07-03T00:00:00Z,Municipal,MWRA Southern,101197.76285714286,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-07-03,current
2025-2026,BioBot,Detected,2025-08-20T00:00:00Z,Municipal,S.Deerfield WWTP,1660469.5899999999,3,copies/L,Deerfield,MA,Franklin,2025-11-13T00:00:00Z,2025-08-20,current
2025-2026,BioBot,Detected,2025-10-02T00:00:00Z,Municipal,Hull WWTF,2039293.9166666667,3,copies/L,Hull,MA,Plymouth,2025-11-13T00:00:00Z,2025-10-02,current
2025-2026,BioBot,Detected,2025-08-14T00:00:00Z,Municipal,MWRA Southern,262273.7014285714,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-14,current
2025-2026,BioBot,Detected,2025-09-11T00:00:00Z,Municipal,Springfield WWTP,480596.145,2,copies/L,Agawam,MA,Hampden,2025-11-13T00:00:00Z,2025-09-11,current
2025-2026,BioBot,Detected,2025-09-18T00:00:00Z,Municipal,Pittsfield WWTP,702643.9075000001,4,copies/L,Pittsfield,MA,Berkshire,2025-11-13T00:00:00Z,2025-09-18,current
2025-2026,BioBot,Detected,2025-09-17T00:00:00Z,Municipal,Wareham WPCF,476533.185,4,copies/L,Wareham,MA,Plymouth,2025-11-13T00:00:00Z,2025-09-17,current
2025-2026,BioBot,Detected,2025-09-10T00:00:00Z,Municipal,Fitchburg Public Works,562398.3525,4,copies/L,Fitchburg,MA,Worcester,2025-11-13T00:00:00Z,2025-09-10,current
2025-2026,BioBot,Detected,2025-09-25T00:00:00Z,Municipal,Whitman,1035472.01,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-09-25,current
2025-2026,BioBot,Detected,2025-11-06T00:00:00Z,Municipal,Hull WWTF,222782.29999999996,3,copies/L,Hull,MA,Plymouth,2025-11-13T00:00:00Z,2025-11-06,current
2025-2026,BioBot,Detected,2025-09-04T00:00:00Z,Municipal,Springfield WWTP,397551.52,2,copies/L,Agawam,MA,Hampden,2025-11-13T00:00:00Z,2025-09-04,current
2025-2026,BioBot,Detected,2025-08-27T00:00:00Z,Municipal,S.Deerfield WWTP,158014.74666666667,3,copies/L,Deerfield,MA,Franklin,2025-11-13T00:00:00Z,2025-08-27,current
2025-2026,BioBot,Detected,2025-09-13T00:00:00Z,Municipal,MWRA Southern,289397.23285714287,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-09-13,current
2025-2026,BioBot,Detected,2025-07-26T00:00:00Z,Municipal,MWRA Southern,193186.09857142856,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-07-26,current
2025-2026,BioBot,Detected,2025-09-14T00:00:00Z,Municipal,SESD-Peabody Metering Station,3515748.9574999996,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-09-14,current
2025-2026,BioBot,Detected,2025-08-25T00:00:00Z,Municipal,MWRA Southern,345912.5528571429,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-25,current
2025-2026,BioBot,Detected,2025-09-14T00:00:00Z,Municipal,SESD-Peabody/Salem Pump,583448.3075,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-09-14,current
2025-2026,BioBot,Detected,2025-07-23T00:00:00Z,Municipal,Fall River WWTP,25886.317499999997,4,copies/L,Fall River,MA,Bristol,2025-11-13T00:00:00Z,2025-07-23,current
2025-2026,BioBot,Detected,2025-08-20T00:00:00Z,Municipal,MWRA Northern,270611.97428571427,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-20,current
2025-2026,BioBot,Detected,2025-09-08T00:00:00Z,Municipal,SESD-Peabody Metering Station,991655.2625000001,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-09-08,current
2025-2026,BioBot,Detected,2025-07-10T00:00:00Z,Municipal,Fitchburg Public Works,62020.115,4,copies/L,Fitchburg,MA,Worcester,2025-11-13T00:00:00Z,2025-07-10,current
